timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618805722906,1056,HTTP Request,200,OK,Thread Group 1-1,text,true,,462,327,10,10,https://petstore.swagger.io/v2/store/order,1056,0,809
1618805723003,971,HTTP Request,200,OK,Thread Group 1-2,text,true,,462,327,10,10,https://petstore.swagger.io/v2/store/order,971,0,729
1618805723103,964,HTTP Request,200,OK,Thread Group 1-3,text,true,,462,327,10,10,https://petstore.swagger.io/v2/store/order,964,0,723
1618805723204,958,HTTP Request,200,OK,Thread Group 1-4,text,true,,462,327,10,10,https://petstore.swagger.io/v2/store/order,958,0,720
1618805723962,246,HTTP Request,200,OK,Thread Group 1-1,text,true,,449,172,10,10,https://petstore.swagger.io/v2/store/order/7,246,0,0
1618805723975,241,HTTP Request,200,OK,Thread Group 1-2,text,true,,449,172,10,10,https://petstore.swagger.io/v2/store/order/7,241,0,0
1618805723303,980,HTTP Request,200,OK,Thread Group 1-5,text,true,,462,327,10,10,https://petstore.swagger.io/v2/store/order,980,0,734
1618805724067,241,HTTP Request,200,OK,Thread Group 1-3,text,true,,449,172,10,10,https://petstore.swagger.io/v2/store/order/7,241,0,0
1618805723404,966,HTTP Request,200,OK,Thread Group 1-6,text,true,,462,327,10,10,https://petstore.swagger.io/v2/store/order,966,0,726
1618805724163,238,HTTP Request,200,OK,Thread Group 1-4,text,true,,449,172,10,10,https://petstore.swagger.io/v2/store/order/7,237,0,0
1618805724209,246,HTTP Request,200,OK,Thread Group 1-1,text,true,,428,174,10,10,https://petstore.swagger.io/v2/store/inventory,246,0,0
1618805723505,950,HTTP Request,200,OK,Thread Group 1-7,text,true,,462,327,10,10,https://petstore.swagger.io/v2/store/order,950,0,713
1618805724217,242,HTTP Request,200,OK,Thread Group 1-2,text,true,,428,174,9,9,https://petstore.swagger.io/v2/store/inventory,241,0,0
1618805724283,243,HTTP Request,200,OK,Thread Group 1-5,text,true,,449,172,8,8,https://petstore.swagger.io/v2/store/order/7,243,0,0
1618805724308,240,HTTP Request,200,OK,Thread Group 1-3,text,true,,428,174,8,8,https://petstore.swagger.io/v2/store/inventory,240,0,0
1618805723604,946,HTTP Request,200,OK,Thread Group 1-8,text,true,,462,327,7,7,https://petstore.swagger.io/v2/store/order,945,0,711
1618805724371,239,HTTP Request,200,OK,Thread Group 1-6,text,true,,449,172,7,7,https://petstore.swagger.io/v2/store/order/7,239,0,0
1618805724401,239,HTTP Request,200,OK,Thread Group 1-4,text,true,,428,174,7,7,https://petstore.swagger.io/v2/store/inventory,238,0,0
1618805723705,942,HTTP Request,200,OK,Thread Group 1-9,text,true,,462,327,6,6,https://petstore.swagger.io/v2/store/order,942,0,708
1618805724456,238,HTTP Request,200,OK,Thread Group 1-7,text,true,,449,172,6,6,https://petstore.swagger.io/v2/store/order/7,238,0,0
1618805723806,954,HTTP Request,200,OK,Thread Group 1-10,text,true,,462,327,6,6,https://petstore.swagger.io/v2/store/order,954,0,715
1618805724527,243,HTTP Request,200,OK,Thread Group 1-5,text,true,,428,174,6,6,https://petstore.swagger.io/v2/store/inventory,243,0,0
1618805724551,234,HTTP Request,200,OK,Thread Group 1-8,text,true,,449,172,5,5,https://petstore.swagger.io/v2/store/order/7,234,0,0
1618805724611,241,HTTP Request,200,OK,Thread Group 1-6,text,true,,428,174,5,5,https://petstore.swagger.io/v2/store/inventory,241,0,0
1618805724648,234,HTTP Request,200,OK,Thread Group 1-9,text,true,,449,172,4,4,https://petstore.swagger.io/v2/store/order/7,234,0,0
1618805724695,237,HTTP Request,200,OK,Thread Group 1-7,text,true,,428,174,4,4,https://petstore.swagger.io/v2/store/inventory,237,0,0
1618805724761,238,HTTP Request,200,OK,Thread Group 1-10,text,true,,449,172,3,3,https://petstore.swagger.io/v2/store/order/7,238,0,0
1618805724786,237,HTTP Request,200,OK,Thread Group 1-8,text,true,,428,174,3,3,https://petstore.swagger.io/v2/store/inventory,237,0,0
1618805724883,236,HTTP Request,200,OK,Thread Group 1-9,text,true,,428,174,2,2,https://petstore.swagger.io/v2/store/inventory,236,0,0
1618805725000,237,HTTP Request,200,OK,Thread Group 1-10,text,true,,428,174,1,1,https://petstore.swagger.io/v2/store/inventory,237,0,0
